text,label,Final Labelling,phase_label
no direct or lasting consequences it illustrates that application security is an ever changing field where companies must remain on the lookout for new [1] W. Katz T. Fiebig. Grindr application security evaluation report.,Unknown,Unknown,Unlabeled – Unknown
"https://www.os3.nl/_media/reports/grindr.pdf, 2013.",Formatting,Formatting,Support – Formatting
[2] Zachary M. Seward. Dating app tinder briefly exposed the physical location of its users. http://qz.com/106731.,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
[3] Shaked Klein Orbach. Tinder privacy issues. http://www.shakedos.,Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
com/2013/Nov/23/tinder-privacy-issues.html.,Formatting,Formatting,Support – Formatting
http://jd.benow.ca.,Formatting,Formatting,Support – Formatting
"[4] JD-GUI. A graphical decompiler of java bytecode to readable code. [5] Burp suite. An intercepting proxy, which lets you inspect and mod-",API Exposure via Static Analysis,API Exposure via Static Analysis,Discovery – API Exposure via Static Analysis
//portswigger.net/burp/.,Formatting,Formatting,Support – Formatting
ify traffic between your browser and the target application. http: [6] Crittercism.com. Crittercism developers summary. https://www.,Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
crittercism.com/for-developers/.,Formatting,Formatting,Support – Formatting
problems. http://www.thoughtcrime.org/blog/,Formatting,Formatting,Support – Formatting
authenticity-is-broken-in-ssl-but-your-app-ha/.,Formatting,Formatting,Support – Formatting
[8] SymantecEmployeeSatnamNarang. Tinder: Spammersflirtwithpop-,Formatting,Formatting,Support – Formatting
[7] Moxie Marlinspike. Your app shouldn’t suffer ssl’s ular mobile dating app. http://www.symantec.com/connect/blogs/,Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
tinder-spammers-flirt-popular-mobile-dating-app.,Formatting,Formatting,Support – Formatting
http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_,Formatting,Formatting,Support – Formatting
21-12-2013#Hoofdstuk2.,Formatting,Formatting,Support – Formatting
[9] Dutch government. Wet bescherming persoonsgegevens(dutch). [10] European Union. 95/46/ec on the protection of individuals with re-,Background Information,Background Information,Support – Background Information
of such data. http://eur-lex.europa.eu/LexUriServ/LexUriServ.,Formatting,Formatting,Support – Formatting
do?uri=CELEX:31995L0046:en:HTML.,Formatting,Formatting,Support – Formatting
"gard to the processing of personal data and on the free movement [11] Dave Shackleford. Regulations and standards: Where encryp- tion applies. Sans, 2007. https://www.sans.org/reading-room/",Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
analysts-program/encryption-Nov07.,Formatting,Formatting,Support – Formatting
A Scripts,Formatting,Formatting,Support – Formatting
#!/bin/sh,Formatting,Formatting,Support – Formatting
### Replace : With,Formatting,Formatting,Support – Formatting
"curl -v ""https://api.gotinder.com/user/matches/888888888888888888888888"" \",Formatting,Formatting,Support – Formatting
"-H ""X-Auth-Token: 11111111-2222-3333-4444-555555555555"" \",Formatting,Formatting,Support – Formatting
"A.1 Sending a Tinder message We used the following template to send chat messages to existing matches, using information gathered by our test user. ### 888888888888888888888888 : Match ID ### 11111111-2222-3333-4444-555555555555 : Currently valid token ### Tinder testbericht 4 : A message aproved by the tokens owner -A ""Tinder Android Version 2.0.1"" \",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
"-H ""Accept-Encoding: gzip"" \",Formatting,Formatting,Support – Formatting
"-d ’{""message"":""Tinder testbericht""}’",Formatting,Formatting,Support – Formatting
A.2 Retrieving user history,Formatting,Formatting,Support – Formatting
#!/bin/sh,Formatting,Formatting,Support – Formatting
### Replace : With,Formatting,Formatting,Support – Formatting
"curl -v ""https://api.gotinder.com/updates"" \",Formatting,Formatting,Support – Formatting
"-H ""X-Auth-Token: 11111111-2222-3333-4444-555555555555"" \",Formatting,Formatting,Support – Formatting
"-H ""Content-Type: application/json; charset=utf-8"" \ We used the following template to request a history of the authorized user, using the date parameter to specify the period we were interested in. ### 11111111-2222-3333-4444-555555555555 : Currently valid token ### 2000-12-09T14:55:30.356Z : Earliest time the history includes -A ""Tinder Android Version 2.0.1"" \",Data Overexposure / Excessive Permissions,Data Overexposure / Excessive Permissions,Unlabeled – Needs Review
"-d ’{""last_activity_date"":""2000-12-09T14:55:30.356Z""}’",Formatting,Formatting,Support – Formatting
B Traces,Formatting,Formatting,Support – Formatting
"-H ""Content-Type: application/json; charset=utf-8"" \ B.1 Replay, chat message to friend * Connected to api.gotinder.com (54.236.172.128) port 443 (#0)",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
* Server certificate:,Formatting,Formatting,Support – Formatting
* subjectAltName: api.gotinder.com matched,Formatting,Formatting,Support – Formatting
"* SSL connection using DHE-RSA-AES256-SHA * subject: OU=Domain Control Validated; CN=api.gotinder.com * start date: 2013-07-17 01:34:03 GMT * expire date: 2018-07-17 01:34:03 GMT * issuer: C=US; ST=Arizona; L=Scottsdale; O=GoDaddy.com, Inc.; OU=http://certificates.godaddy.com/repository; CN=Go Daddy Secure Certification Authority; serialNumber=07969287",Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
> POST /user/matches/333333333333333333333333 HTTP/1.1,Formatting,Formatting,Support – Formatting
* SSL certificate verify ok. > User-Agent: Tinder Android Version 2.0.1,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
> Host: api.gotinder.com,Formatting,Formatting,Support – Formatting
> Accept: */*,Formatting,Formatting,Support – Formatting
> X-Auth-Token: 99999999-8888-7777-6666-555555555555,Formatting,Formatting,Support – Formatting
> Content-Type: application/json; charset=utf-8,Formatting,Formatting,Support – Formatting
> Accept-Encoding: gzip,Formatting,Formatting,Support – Formatting
> Content-Length: 34,Formatting,Formatting,Support – Formatting
< HTTP/1.1 200 OK,Formatting,Formatting,Support – Formatting
< Content-Type: application/json; charset=utf-8,Formatting,Formatting,Support – Formatting
< Server: nginx/1.1.19,Formatting,Formatting,Support – Formatting
< X-Powered-By: Express,Formatting,Formatting,Support – Formatting
< Content-Length: 142,Formatting,Formatting,Support – Formatting
< Connection: keep-alive,Formatting,Formatting,Support – Formatting
"""created_date"":""2013-12-09T10:00:00.000Z"",",Formatting,Formatting,Support – Formatting
"""from"":""aaaaaaaaaaaaaaaaaaaaaaaa"",",Formatting,Formatting,Support – Formatting
"""to"":""bbbbbbbbbbbbbbbbbbbbbbbb"",",Formatting,Formatting,Support – Formatting
"""message"":""Tinder testbericht 3""",Formatting,Formatting,Support – Formatting
"* upload completely sent off: 34 out of 34 bytes < Date: Mon, 09 Dec 2013 10:00:00 GMT B.2 Replay, chat message to stranger * Connected to api.gotinder.com (107.21.49.214) port 443 (#0)",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
* Server certificate:,Formatting,Formatting,Support – Formatting
* subjectAltName: api.gotinder.com matched,Formatting,Formatting,Support – Formatting
"* SSL connection using DHE-RSA-AES256-SHA * subject: OU=Domain Control Validated; CN=api.gotinder.com * start date: 2013-07-17 01:34:03 GMT * expire date: 2018-07-17 01:34:03 GMT * issuer: C=US; ST=Arizona; L=Scottsdale; O=GoDaddy.com, Inc.; OU=http://certificates.godaddy.com/repository; CN=Go Daddy Secure Certification Authority; serialNumber=07969287",Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
> POST /user/matches/111111111111111111111111 HTTP/1.1,Formatting,Formatting,Support – Formatting
* SSL certificate verify ok. > User-Agent: Tinder Android Version 2.0.1,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
> Host: api.gotinder.com,Formatting,Formatting,Support – Formatting
> Accept: */*,Formatting,Formatting,Support – Formatting
> X-Auth-Token: 11111111-2222-3333-4444-555555555555,Formatting,Formatting,Support – Formatting
> Content-Length: 55,Formatting,Formatting,Support – Formatting
> Content-Type: application/x-www-form-urlencoded,Formatting,Formatting,Support – Formatting
< HTTP/1.1 401 Unauthorized,Formatting,Formatting,Support – Formatting
< Content-Type: application/json; charset=utf-8,Formatting,Formatting,Support – Formatting
< Server: nginx/1.1.19,Formatting,Formatting,Support – Formatting
< X-Powered-By: Express,Formatting,Formatting,Support – Formatting
< Content-Length: 93,Formatting,Formatting,Support – Formatting
< Connection: keep-alive,Formatting,Formatting,Support – Formatting
"""status"":""401"",",Formatting,Formatting,Support – Formatting
C Contributions,Formatting,Formatting,Support – Formatting
Esan Joris Leendert Mick,Formatting,Formatting,Support – Formatting
Global,Formatting,Formatting,Support – Formatting
Decompilation (cid:51),Formatting,Formatting,Support – Formatting
Static analysis (cid:51) (cid:51) (cid:51) (cid:51),Formatting,Formatting,Support – Formatting
MitM Setup (cid:51) (cid:51) (cid:51),Formatting,Formatting,Support – Formatting
Traffic Generation (cid:51) (cid:51),Formatting,Formatting,Support – Formatting
Traffic Analysis (cid:51) (cid:51) (cid:51) (cid:51),Formatting,Formatting,Support – Formatting
Replay Analysis (cid:51),Formatting,Formatting,Support – Formatting
Presentation (cid:51) (cid:51),Formatting,Formatting,Support – Formatting
Report,Formatting,Formatting,Support – Formatting
Introduction Initial Expanded Expanded,Formatting,Formatting,Support – Formatting
Related Works Initial Expanded,Formatting,Formatting,Support – Formatting
Approach Expanded Expanded Expanded Initial,Formatting,Formatting,Support – Formatting
Static Analysis Initial Expanded Expanded,Formatting,Formatting,Support – Formatting
Dynamic Analysis Expanded Initial,Formatting,Formatting,Support – Formatting
Legal Analysis Adjusted Initial,Formatting,Formatting,Support – Formatting
Conclusion Expanded Initial,Formatting,Formatting,Support – Formatting
"* upload completely sent off: 55 out of 55 bytes < Date: Mon, 09 Dec 2013 14:00:00 GMT ""error"":""X-Auth-Token, match id, and message are required to send a message""",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
