text,label,clean_text
"The Windows SMBv1 service is enabled and vulnerable to CVE-2017-0144 (EternalBlue), which may permit remote exploitation by unauthenticated users.",Vulnerability - Known CVE,the windows smbv1 service is enabled and vulnerable to cve20170144 eternalblue which may permit remote exploitation by unauthenticated users
"With the user having sent a test message to the chat partner our third
party took the network logs and crafted another request, this crafted re-
quest was then sent to the Tinder API server which accepted, processed
and relayed it to the original chat partner. The conversation can be found
in appendix B.1. During this experiment we noticed that while our chat
partner received the message, the user on whose behalf we sent it did not
get any notication in their chat log. We suspect the latter to be due to the
response to the actual message being sent containing the information the
application would normally add to the chat log.
Execution of this attack requires the following resources:
 The template API request (see appendix A.1)
 The identier of a match with the target user
 A (currently) valid authentication token for the sending user
 The application version identier i.e. the user agent for the request
 A properly encoded JSON payload specifying a message",Exploitation,with the user having sent a test message to the chat partner our third party took the network logs and crafted another request this crafted re quest was then sent to the tinder api server which accepted processed and relayed it to the original chat partner the conversation can be found in appendix b1 during this experiment we noticed that while our chat partner received the message the user on whose behalf we sent it did not get any notication in their chat log we suspect the latter to be due to the response to the actual message being sent containing the information the application would normally add to the chat log execution of this attack requires the following resources the template api request see appendix a1 the identier of a match with the target user a currently valid authentication token for the sending user the application version identier ie the user agent for the request a properly encoded json payload specifying a message
Sensitive log files containing user credentials were publicly accessible in an open Azure Blob storage container.,Operational TTPs,sensitive log files containing user credentials were publicly accessible in an open azure blob storage container
" We inspected the hosts the device running the application connected to, after eliminating traffic from non Tinder related hosts we were left with the following hosts using HTTPS: Number of requests Hostname 66 api.crittercism.com 3635 api.gotinder.com",Discovery,we inspected the hosts the device running the application connected to after eliminating traffic from non tinder related hosts we were left with the following hosts using https number of requests hostname 66 apicrittercismcom 3635 apigotindercom
"**Vulnerability Fix**: Since this is a custom web application, a specific update will not
properly solve this issue. The application will need to be programmed
to properly sanitize user-input data, ensure that the user is running
off of a limited user account, and that any sensitive data stored
within the SQL database is properly encrypted.",Crypto Misuse,vulnerability fix since this is a custom web application a specific update will not properly solve this issue the application will need to be programmed to properly sanitize userinput data ensure that the user is running off of a limited user account and that any sensitive data stored within the sql database is properly encrypted
Captured NTLMv2 hashes via LLMNR spoofing and used them in an SMB relay attack.,Exploitation,captured ntlmv2 hashes via llmnr spoofing and used them in an smb relay attack
"Hash0 derives another 'encryption password' from the main password, rather than using a binary key.",Crypto Misuse,hash0 derives another encryption password from the main password rather than using a binary key
Browser autofill filled credentials into a phishing site with a spoofed subdomain.,Exploitation,browser autofill filled credentials into a phishing site with a spoofed subdomain
Uploaded malicious Lambda function via exposed AWS credentials to establish persistence.,Post - Exploitation,uploaded malicious lambda function via exposed aws credentials to establish persistence
Azure VM had a managed identity with Contributor access to the subscription. Exploiting it enabled privilege escalation to subscription-wide control,Privilege Escalation,azure vm had a managed identity with contributor access to the subscription exploiting it enabled privilege escalation to subscriptionwide control
"Apache server identified as version 2.4.49, vulnerable to CVE-2021-41773.",Vulnerability - Known CVE,apache server identified as version 2449 vulnerable to cve202141773
had administrative level access to multiple systems. All systems were successfully exploited and access granted. These systems as well as a brief description on how access was obtained are listed below: - `192.168.x.1` - Anonymous SMB share leads to Wordpress RCE,Discovery,had administrative level access to multiple systems all systems were successfully exploited and access granted these systems as well as a brief description on how access was obtained are listed below 192168x1 anonymous smb share leads to wordpress rce
Set up reverse shell and maintained access using cronjob persistence.,Post - Exploitation,set up reverse shell and maintained access using cronjob persistence
"The encryption routine accepted user-provided keys without enforcing length or entropy requirements, resulting in the use of 40-bit keys for AES-256 encryption.",Crypto Misuse,the encryption routine accepted userprovided keys without enforcing length or entropy requirements resulting in the use of 40bit keys for aes256 encryption
"An attacker with domain access was able to request service tickets for accounts with SPNs. These tickets were then cracked offline using hashcat, exposing cleartext passwords for several service accounts with elevated privileges.",Credential Access,an attacker with domain access was able to request service tickets for accounts with spns these tickets were then cracked offline using hashcat exposing cleartext passwords for several service accounts with elevated privileges
The European law requires data in transit be protected against unauthorized access. Tinder is not in full compliance.,Policy,the european law requires data in transit be protected against unauthorized access tinder is not in full compliance
"Queried a misconfigured DNS server for AXFR records, successfully retrieving a full zone file containing all subdomains.",Discovery,queried a misconfigured dns server for axfr records successfully retrieving a full zone file containing all subdomains
Introduce automated dependency scanning tools in the CI/CD pipeline to catch known vulnerabilities early.,Support - Recommendation,introduce automated dependency scanning tools in the cicd pipeline to catch known vulnerabilities early
The SJCL decrypt() function will throw an exception if the key is wrong or data is tampered. Hash0 does not handle this and crashes.,Implementation Flaw,the sjcl decrypt function will throw an exception if the key is wrong or data is tampered hash0 does not handle this and crashes
"It returned chat history, user profiles, last online timestamps, and rejected matches.",Exploitation,it returned chat history user profiles last online timestamps and rejected matches
7https://developers.facebook.com/docs/android/,Support - Tool Reference,7httpsdevelopersfacebookcomdocsandroid
"A SUID copy of nmap was found on the target system. Using interactive mode, it was possible to spawn a shell with elevated privileges.",Privilege Escalation,a suid copy of nmap was found on the target system using interactive mode it was possible to spawn a shell with elevated privileges
The HMAC key used during password derivation is a hex-encoded string.,Crypto Misuse,the hmac key used during password derivation is a hexencoded string
4http://www.roe.ch/SSLsplit,Support - Tool Reference,4httpwwwroechsslsplit
4.2.1 Secured traffic . . . . . . . . . . . . . . . . . . . . . . 7,Formatting,421 secured traffic 7
"The binary /usr/local/bin/custom_tool was found with the SUID bit set and executed user-supplied input without sanitization, enabling execution of arbitrary commands as root.",Privilege Escalation,the binary usrlocalbincustom_tool was found with the suid bit set and executed usersupplied input without sanitization enabling execution of arbitrary commands as root
"The objective of this assessment is to perform an internal penetration test against the OffSec Lab and Exam network. The student is tasked with following a methodical approach to obtaining access to the objective goals. This test should simulate an actual penetration test and how you would start from beginning to end, including the overall report. An example page has already been created for you in the latter",Background Information,the objective of this assessment is to perform an internal penetration test against the offsec lab and exam network the student is tasked with following a methodical approach to obtaining access to the objective goals this test should simulate an actual penetration test and how you would start from beginning to end including the overall report an example page has already been created for you in the latter
Contents,Formatting,contents
"An OpenVAS scan revealed multiple high-risk vulnerabilities in the backend database service, including weak authentication and exposed admin interfaces.",Discovery,an openvas scan revealed multiple highrisk vulnerabilities in the backend database service including weak authentication and exposed admin interfaces
"Manual enumeration of FTP allowed anonymous login, where multiple configuration files were found, including credentials.",Credential Access,manual enumeration of ftp allowed anonymous login where multiple configuration files were found including credentials
Used DNS zone transfer on misconfigured server to enumerate internal hostnames and IP addresses.,Discovery,used dns zone transfer on misconfigured server to enumerate internal hostnames and ip addresses
"Instead of using base64 or raw binary values, salts were derived from the hash of the current timestamp, leading to collisions and predictability under high concurrency environments.",Crypto Misuse,instead of using base64 or raw binary values salts were derived from the hash of the current timestamp leading to collisions and predictability under high concurrency environments
Joris Claassen Leendert v. Duijn Mick Pouw Esan Wit,Background Information,joris claassen leendert v duijn mick pouw esan wit
"* Connected to api.gotinder.com (107.21.49.214) port 443 (#0)
* SSL connection using DHE-RSA-AES256-SHA
* SSL certificate verify ok.
> POST /user/matches/111111111111111111111111 HTTP/1.1
> User-Agent: Tinder Android Version 2.0.1
> Host: api.gotinder.com
> X-Auth-Token: 11111111-2222-3333-4444-555555555555
> Content-Length: 55
> Content-Type: application/x-www-form-urlencoded

* upload completely sent off: 55 out of 55 bytes
< HTTP/1.1 401 Unauthorized
{
  ""status"": ""401"",
  ""error"": ""X-Auth-Token, match id, and message are required to send a message""
}",Support - Tool Reference,connected to apigotindercom 1072149214 port 443 0 ssl connection using dhersaaes256sha ssl certificate verify ok post usermatches111111111111111111111111 http11 useragent tinder android version 201 host apigotindercom xauthtoken 11111111222233334444555555555555 contentlength 55 contenttype applicationxwwwformurlencoded upload completely sent off 55 out of 55 bytes http11 401 unauthorized status 401 error xauthtoken match id and message are required to send a message
A reverse shell was initiated and cronjobs were inspected. Persistence was established by planting a new cronjob to initiate a reverse shell every minute.,Post - Exploitation,a reverse shell was initiated and cronjobs were inspected persistence was established by planting a new cronjob to initiate a reverse shell every minute
Scanned subnet with Nmap and discovered open FTP and SSH ports.,Discovery,scanned subnet with nmap and discovered open ftp and ssh ports
"One of the first attacks tried on the Tinder API was to check if we could exchange a third party Facebook token for a Tinder session token. We send a fully authorized token, created from the Facebook Graph API Explorer11.",Exploitation,one of the first attacks tried on the tinder api was to check if we could exchange a third party facebook token for a tinder session token we send a fully authorized token created from the facebook graph api explorer11
"The salt passed to PBKDF2 is a hex string, which is suboptimal.",Crypto Misuse,the salt passed to pbkdf2 is a hex string which is suboptimal
"The Storage Provider could replay old ciphertext, leading to password reuse or rollback.",Exploitation,the storage provider could replay old ciphertext leading to password reuse or rollback
The salts are generated with Math.random(). This is insecure. Salts must be generated with a CSPRNG.,Crypto Misuse,the salts are generated with mathrandom this is insecure salts must be generated with a csprng
Disabled shell command history and deleted `.bash_history` files on all compromised systems to obscure evidence of executed commands.,Post - Exploitation,disabled shell command history and deleted bash_history files on all compromised systems to obscure evidence of executed commands
"A specific instance of this security vulnerability was identified
in a script designed to clean the /tmp directory - `/tmp/clean.sh`. This script was
executed with root-level privileges but was incorrectly set as
world-writable. This misconfiguration could be exploited by an
attacker to modify the script's contents and execute arbitrary
commands with root privileges, thereby compromising the integrity
of the system.",Privilege Escalation,a specific instance of this security vulnerability was identified in a script designed to clean the tmp directory tmpcleansh this script was executed with rootlevel privileges but was incorrectly set as worldwritable this misconfiguration could be exploited by an attacker to modify the scripts contents and execute arbitrary commands with root privileges thereby compromising the integrity of the system
Only 100 iterations of PBKDF2 are used when deriving the encryption password. This low value was explicitly chosen for performance reasons.,Crypto Misuse,only 100 iterations of pbkdf2 are used when deriving the encryption password this low value was explicitly chosen for performance reasons
draw a conclusion based on our results. We divided the research questions into several sub questions. These will be handled in the analysis. The sub,Background Information,draw a conclusion based on our results we divided the research questions into several sub questions these will be handled in the analysis the sub
"#### Service Enumeration

##### Port Scan Results

|IP Address|Ports Open|
|---|---|
|192.168.x.2|**TCP**: 80, 443<br/>**UDP**:|
",Discovery,service enumeration port scan results ip addressports open 192168x2tcp 80 443brudp
This answers whether the undocumented Tinder API is prone to leaking data.,Exploitation,this answers whether the undocumented tinder api is prone to leaking data
"Application generated encryption keys by hashing raw passwords directly with SHA1, skipping standard KDF mechanisms like PBKDF2, bcrypt, or scrypt.",Crypto Misuse,application generated encryption keys by hashing raw passwords directly with sha1 skipping standard kdf mechanisms like pbkdf2 bcrypt or scrypt
Unintended exposure of file structures and names in public folders.,Information Disclosure,unintended exposure of file structures and names in public folders
"All user passwords were hashed using the same hardcoded salt value (`""somesaltvalue""`) across the application. This reduces entropy and makes it possible to precompute hashes offline for reuse against any account.",Crypto Misuse,all user passwords were hashed using the same hardcoded salt value somesaltvalue across the application this reduces entropy and makes it possible to precompute hashes offline for reuse against any account
4 Analysis 6,Formatting,4 analysis 6
"**Vulnerability Explanation**: After establishing a foothold on target, John noticed there were
several applications running locally, one of them, a custom web
application on port 80 was prone to SQL Injection attacks. Using
Chisel for port forwarding, John was able to access the web
application. When performing the penetration test, John noticed
error-based MySQL Injection on the taxid query string parameter.
",Exploitation,vulnerability explanation after establishing a foothold on target john noticed there were several applications running locally one of them a custom web application on port 80 was prone to sql injection attacks using chisel for port forwarding john was able to access the web application when performing the penetration test john noticed errorbased mysql injection on the taxid query string parameter
"Injected malicious code into `.bashrc` for the root user, ensuring that the attacker’s payload would execute each time a privileged shell was opened.",Post - Exploitation,injected malicious code into bashrc for the root user ensuring that the attackers payload would execute each time a privileged shell was opened
" We found some interesting articles and papers online, which inspired us to The researchers examined the security of the Grindr dating app and found a serious error in the implementation of Grindr. The Tinder app is not based The first article on Tinder we found was an article on Quartz[2], describ- ing a possible leak of data Tinder used to have. Tinder claimed these data leaks .. happen[s] as youre developing products, and was going to be patched the same day. The issue was fixed only a week later. This leads us to believe the data privacy of Tinder users is not one of their top priorities.",Policy,we found some interesting articles and papers online which inspired us to the researchers examined the security of the grindr dating app and found a serious error in the implementation of grindr the tinder app is not based the first article on tinder we found was an article on quartz2 describ ing a possible leak of data tinder used to have tinder claimed these data leaks happens as youre developing products and was going to be patched the same day the issue was fixed only a week later this leads us to believe the data privacy of tinder users is not one of their top priorities
Incorrect checks in backend controllers exposing privileged functions.,Implementation Flaw,incorrect checks in backend controllers exposing privileged functions
A Scripts 15,Formatting,a scripts 15
3.3 User authentication. . . . . . . . . . . . . . . . . . . . . . . . 5,Formatting,33 user authentication 5
"After gaining access, the adversary installed a rootkit to maintain stealthy control over the compromised host for extended periods.",Post - Exploitation,after gaining access the adversary installed a rootkit to maintain stealthy control over the compromised host for extended periods
We recommend Tinder investigate whether communication with Kontagent can be secured.,Support - Recommendation,we recommend tinder investigate whether communication with kontagent can be secured
5http://www.utest.com/apphance,Support - Tool Reference,5httpwwwutestcomapphance
"The cryptographic module allowed keys with non-uniform entropy and improper padding, such as short ASCII passphrases padded to key length with null bytes. This undermines the strength of symmetric encryption.",Crypto Misuse,the cryptographic module allowed keys with nonuniform entropy and improper padding such as short ascii passphrases padded to key length with null bytes this undermines the strength of symmetric encryption
"The logout function fails to properly invalidate session tokens on the server side, leaving active sessions accessible.",Implementation Flaw,the logout function fails to properly invalidate session tokens on the server side leaving active sessions accessible
Using PBKDF2 then HMAC is unnecessary; better to encode in the PBKDF2 salt directly.,Crypto Misuse,using pbkdf2 then hmac is unnecessary better to encode in the pbkdf2 salt directly
"A Qualys scan was performed against the DMZ subnet, highlighting outdated SSL configurations and missing security patches across several hosts.",Discovery,a qualys scan was performed against the dmz subnet highlighting outdated ssl configurations and missing security patches across several hosts
Lack of MFA and centralized logging in AWS configuration.,Support - Recommendation,lack of mfa and centralized logging in aws configuration
Used WMI to execute commands on another host using stolen credentials.,Operational TTPs,used wmi to execute commands on another host using stolen credentials
Custom malware was compiled and deployed to establish a command and control channel through outbound HTTPS traffic.,Post - Exploitation,custom malware was compiled and deployed to establish a command and control channel through outbound https traffic
"The password is shown to the user before settings are uploaded, allowing reuse in case of failure.",Information Disclosure,the password is shown to the user before settings are uploaded allowing reuse in case of failure
**Vulnerability Fix**: Change permissions on the custom script `/tmp/clean.sh` to be writable only by root.,Support - Recommendation,vulnerability fix change permissions on the custom script tmpcleansh to be writable only by root
"**PoC**:
Injection code:

```sql
SELECT * FROM login WHERE id = 1 or 1=1 AND user LIKE ""%root%""
```",Exploitation,poc injection code sql select from login where id 1 or 11 and user like root
"Of these, the most interesting seems to be api.geo.kontagent.net, which received: age, gender, user ID, 7-decimal location, sexual interest, and target user ID.",Exploitation,of these the most interesting seems to be apigeokontagentnet which received age gender user id 7decimal location sexual interest and target user id
3.2.1 HTTP(S) Proxies . . . . . . . . . . . . . . . . . . . . . 4,Formatting,321 https proxies 4
"When authentication fails due to a malformed token, the application crashes instead of gracefully rejecting the request.",Implementation Flaw,when authentication fails due to a malformed token the application crashes instead of gracefully rejecting the request
We wondered how the system would respond to replacing the Match-ID with a User-ID.,Exploitation,we wondered how the system would respond to replacing the matchid with a userid
Unfiltered user input passed directly to SQL or file paths,Implementation Flaw,unfiltered user input passed directly to sql or file paths
2http://www.aircrack-ng.org/doku.php?id=airbase-ng,Support - Tool Reference,2httpwwwaircrackngorgdokuphpidairbaseng
Used kernel exploit to escalate privileges from user to root.,Exploitation,used kernel exploit to escalate privileges from user to root
#### Privilege Escalation - Scripts running as root user ,Exploitation,privilege escalation scripts running as root user
"Third-party API integration failed to validate JWT issuer, allowing forged tokens to access user accounts.",Exploitation,thirdparty api integration failed to validate jwt issuer allowing forged tokens to access user accounts
User was tricked into opening a document attachment containing a malicious macro.,Operational TTPs,user was tricked into opening a document attachment containing a malicious macro
"Sensitive files (e.g., .git, .env) accessible from the web root.",Information Disclosure,sensitive files eg git env accessible from the web root
"**Vulnerability Explanation**: The system hosts custom scripts running as root. This poses a
security risk if the scripts are improperly secured, as it may allow
non-privileged users the opportunity to alter these files.",Privilege Escalation,vulnerability explanation the system hosts custom scripts running as root this poses a security risk if the scripts are improperly secured as it may allow nonprivileged users the opportunity to alter these files
"The server was running Log4j 2.14.1, which is vulnerable to CVE-2021-44228 (Log4Shell), allowing remote code execution via crafted log messages.",Vulnerability - Known CVE,the server was running log4j 2141 which is vulnerable to cve202144228 log4shell allowing remote code execution via crafted log messages
Unauthorized access to Bamboo server allowed the attacker to execute arbitrary scripts during the build pipeline.,Exploitation,unauthorized access to bamboo server allowed the attacker to execute arbitrary scripts during the build pipeline
### Requirements,Formatting,requirements
"**Vulnerability Fix**: The publishers of the Ability Server have issued a patch to fix
this known issue. It can be found here: http://www.code-crafters.com/abilityserver/",Support - Recommendation,vulnerability fix the publishers of the ability server have issued a patch to fix this known issue it can be found here httpwwwcodecrafterscomabilityserver
Returning full records (including PII) when users access objects they shouldn't,Information Disclosure,returning full records including pii when users access objects they shouldnt
4.2.5 Data retrieval . . . . . . . . . . . . . . . . . . . . . . . 10,Formatting,425 data retrieval 10
"The encryption function leaked processing time differences based on input values, enabling potential attackers to recover key material through repeated measurements.",Discovery,the encryption function leaked processing time differences based on input values enabling potential attackers to recover key material through repeated measurements
Returning full stack traces or database errors instead of sanitized messages.,Implementation Flaw,returning full stack traces or database errors instead of sanitized messages
"The application incorrectly stores session identifiers in local storage, which may be accessible by third-party scripts.",Implementation Flaw,the application incorrectly stores session identifiers in local storage which may be accessible by thirdparty scripts
3.2.2 Realization . . . . . . . . . . . . . . . . . . . . . . . . 5,Formatting,322 realization 5
"John recommends patching the vulnerabilities identified during the testing to ensure that an attacker cannot exploit these systems in the future. One thing to remember is that these systems require frequent patching and once patched, should remain on a regular patch program to protect additional vulnerabilities that are discovered at a later date. John utilized a widely adopted approach to performing penetration testing that is effective in testing how well the OffSec Labs and Exam environments are secure. Below is a breakout of how John was able to",Support - Recommendation,john recommends patching the vulnerabilities identified during the testing to ensure that an attacker cannot exploit these systems in the future one thing to remember is that these systems require frequent patching and once patched should remain on a regular patch program to protect additional vulnerabilities that are discovered at a later date john utilized a widely adopted approach to performing penetration testing that is effective in testing how well the offsec labs and exam environments are secure below is a breakout of how john was able to
"PHP version 7.3.6 detected on the host, which is impacted by CVE-2019-11043 — a flaw in the FPM module that allows remote code execution.",Vulnerability - Known CVE,php version 736 detected on the host which is impacted by cve201911043 a flaw in the fpm module that allows remote code execution
"The application fails to catch database connection exceptions, causing the entire system to crash when the database is unavailable.",Implementation Flaw,the application fails to catch database connection exceptions causing the entire system to crash when the database is unavailable
"Tricked a victim into connecting to a rogue SMB share via LLMNR/NBT-NS spoofing, captured credentials, and relayed them for access.",Exploitation,tricked a victim into connecting to a rogue smb share via llmnrnbtns spoofing captured credentials and relayed them for access
SSN Project 2013,Background Information,ssn project 2013
Detailed server-side stack traces exposed to user,Information Disclosure,detailed serverside stack traces exposed to user
"The system derived keys using the users email address as the seed for a deterministic PRNG, resulting in predictable and replicable encryption keys for each user.",Crypto Misuse,the system derived keys using the users email address as the seed for a deterministic prng resulting in predictable and replicable encryption keys for each user
A misconfigured GCP service account was found to have the Owner role and could be impersonated by any user with compute.instanceAdmin privileges,Privilege Escalation,a misconfigured gcp service account was found to have the owner role and could be impersonated by any user with computeinstanceadmin privileges
4.3 Legal analysis . . . . . . . . . . . . . . . . . . . . . . . . . . . 11,Formatting,43 legal analysis 11
"After this we had a brief look into using MitM proxy3, as this was pre- viously used for exactly this purpose in another analysis[1]. However we didn -t manage to configure it to run transparently with our setup",Discovery,after this we had a brief look into using mitm proxy3 as this was pre viously used for exactly this purpose in another analysis1 however we didn t manage to configure it to run transparently with our setup
4.1.1 Libraries . . . . . . . . . . . . . . . . . . . . . . . . . . 6,Formatting,411 libraries 6
Tinder Security Audit,Background Information,tinder security audit
Analyzing files left behind by the app on the system opened up some new locations where data could be leaked. Most noteworthy is the tinder.db file which is an unencrypted SQLite3 database. This database houses informa- tion on past and future gradings as well as a complete chat history. Since this files is protected by Android to only be accessible by the app itself this is generally okay. However on rooted devices or with the possibility of a new exploit encryption might be preferable over the performance loss.,Exploitation,analyzing files left behind by the app on the system opened up some new locations where data could be leaked most noteworthy is the tinderdb file which is an unencrypted sqlite3 database this database houses informa tion on past and future gradings as well as a complete chat history since this files is protected by android to only be accessible by the app itself this is generally okay however on rooted devices or with the possibility of a new exploit encryption might be preferable over the performance loss
"A Nessus scan identified several critical CVEs affecting the web server, including remote code execution and privilege escalation vulnerabilities.",Discovery,a nessus scan identified several critical cves affecting the web server including remote code execution and privilege escalation vulnerabilities
